sample_id	cluster_id	size	mean	std
FC15883284	1	13	0.04408122536810882	0.01910232989476952
FC15883282	1	13	0.01007360466070472	0.000956351452628172
FC15883283	1	13	0.02130013153645103	0.007486435492531377
FC15883281	1	13	0.008729765476325478	0.003406311723291194
FC15883284	2	1	0.6078973849156145	0.2122041421586441
FC15883282	2	1	0.46368252294873574	0.27822855044131095
FC15883283	2	1	0.6234439420447841	0.1956130254296331
FC15883281	2	1	0.46133364538336075	0.2649746477789677
FC15883284	3	1	0.7094714503819891	0.2053832804515007
FC15883282	3	1	0.26510773520963266	0.10770574619409927
FC15883283	3	1	0.3335549357845904	0.18749682243816315
FC15883281	3	1	0.43945248578979423	0.1387792099268428
FC15883284	4	1	0.43848631459364235	0.21082869629679082
FC15883282	4	1	0.8939109204420898	0.07135673529275584
FC15883283	4	1	0.5017395830664801	0.1319192410901302
FC15883281	4	1	0.5334792970373878	0.08827786339639734
FC15883284	5	1	0.811826867127418	0.12879552072539913
FC15883282	5	1	0.5982595928422275	0.0671478141633711
FC15883283	5	1	0.5102957889250036	0.10119556381775983
FC15883281	5	1	0.8871762437397612	0.064762394886112
FC15883284	6	1	0.9411021556184083	0.05845536164348998
FC15883282	6	1	0.9535034848428987	0.04435055275331936
FC15883283	6	1	0.9483165789505121	0.050497493222616034
FC15883281	6	1	0.9868454340611921	0.01697256674858198
FC15883284	7	1	0.09308761694964561	0.10488802766663227
FC15883282	7	1	0.09414753900675824	0.04764852521219006
FC15883283	7	1	0.44489233678487905	0.184571129645542
FC15883281	7	1	0.1389216432107913	0.06336272878914352
